Src_PLAYER_ID,ActivityMonth,Product,BONUS_COST
16051927,2020-06-30,eGaming,50
19309540,2021-02-28,eGaming,40
13176431,2020-01-31,eGaming,15
12405628,2019-02-28,SportsBook,30
17486248,2021-02-28,eGaming,25
13506896,2019-09-30,SportsBook,150
12804682,2020-08-31,eGaming,60
16447108,2020-07-31,eGaming,205
12482596,2019-02-28,SportsBook,600
14491899,2020-01-31,eGaming,50
20242878,2021-05-31,eGaming,200
13518752,2020-01-31,eGaming,50
13372968,2021-01-31,SportsBook,400
17234738,2021-03-31,eGaming,9
12368998,2020-02-29,SportsBook,100
18524184,2021-05-31,eGaming,19
12375160,2019-01-31,eGaming,20
17316544,2020-10-31,eGaming,40
13764671,2019-10-31,SportsBook,10
19787264,2021-06-30,eGaming,10
12453752,2019-02-28,SportsBook,199
13935424,2020-01-31,eGaming,105
13205317,2020-07-31,SportsBook,5
15337713,2020-04-30,eGaming,100
15632448,2020-04-30,eGaming,100
14913735,2020-02-29,eGaming,10
14678294,2020-03-31,eGaming,10
16620682,2020-08-31,SportsBook,35
12680708,2019-07-31,eGaming,80
13856080,2019-12-31,eGaming,43
13090419,2019-05-31,eGaming,100
12603115,2019-04-30,eGaming,20
12852176,2019-04-30,eGaming,13
13378421,2019-08-31,eGaming,100
15961188,2020-11-30,eGaming,100
12721272,2019-03-31,SportsBook,110
14775155,2020-01-31,SportsBook,10
12400599,2019-05-31,eGaming,200
15031685,2020-04-30,eGaming,30
17700503,2021-04-30,SportsBook,20
14243852,2019-11-30,eGaming,100
14893192,2020-03-31,eGaming,80
20045030,2021-04-30,eGaming,40
12430214,2019-01-31,eGaming,20
13930332,2019-11-30,eGaming,13
15864010,2020-06-30,eGaming,13
18486853,2021-01-31,eGaming,105
13506050,2019-09-30,SportsBook,5
12352172,2019-01-31,eGaming,20
12366424,2020-07-31,eGaming,20
13631261,2019-10-31,eGaming,10
14879913,2020-03-31,eGaming,41
12849580,2019-08-31,SportsBook,150
19471922,2021-04-30,eGaming,100
12360408,2019-01-31,eGaming,13
18937314,2021-02-28,eGaming,49
13321654,2021-06-30,SportsBook,300
13350624,2019-08-31,SportsBook,50
13958272,2020-07-31,eGaming,300
13112089,2019-10-31,eGaming,700
14469908,2019-12-31,eGaming,36
18870828,2021-05-31,eGaming,4
12346653,2021-04-30,eGaming,50
12762987,2019-04-30,eGaming,24
13301592,2021-02-28,eGaming,20
12873117,2020-12-31,eGaming,20
13923316,2019-11-30,eGaming,98
18824463,2021-01-31,SportsBook,50
18970433,2021-05-31,eGaming,9
13487075,2019-11-30,SportsBook,100
13360920,2020-08-31,eGaming,99
12829381,2020-03-31,eGaming,200
12564030,2019-02-28,eGaming,19
12386862,2019-01-31,eGaming,20
19010208,2021-02-28,SportsBook,500
13729970,2020-04-30,eGaming,50
19044940,2021-05-31,eGaming,85
13277229,2019-07-31,eGaming,10
14903927,2020-02-29,eGaming,10
14921757,2020-02-29,eGaming,100
13430649,2020-01-31,SportsBook,100
14952922,2020-02-29,eGaming,150
18532403,2020-12-31,eGaming,52
13793075,2019-11-30,eGaming,506
17769594,2020-11-30,SportsBook,150
14869182,2021-05-31,eGaming,19
13082074,2019-05-31,eGaming,20
13302297,2021-04-30,SportsBook,200
16844280,2020-12-31,eGaming,20
20646861,2021-06-30,eGaming,25
19592294,2021-03-31,eGaming,50
14822495,2020-01-31,eGaming,13
17785953,2021-04-30,eGaming,10
13596600,2019-09-30,eGaming,10
13826308,2020-05-31,eGaming,29
15339827,2020-04-30,eGaming,100
13264299,2020-03-31,eGaming,140
14722717,2020-08-31,eGaming,229
17499924,2020-10-31,SportsBook,40
13388331,2019-08-31,SportsBook,25
17903938,2021-03-31,eGaming,50
14772190,2020-01-31,eGaming,10
16131565,2020-08-31,SportsBook,49
18340958,2021-04-30,eGaming,29
14923928,2020-10-31,SportsBook,160
17077998,2020-11-30,eGaming,100
12477214,2021-03-31,eGaming,20
13798721,2019-11-30,SportsBook,500
17174424,2020-10-31,eGaming,100
12391760,2019-07-31,eGaming,30
17077998,2020-12-31,eGaming,100
12621216,2019-08-31,eGaming,40
19326976,2021-03-31,eGaming,39
13027984,2019-05-31,eGaming,10
16022715,2020-06-30,eGaming,100
15029147,2020-10-31,eGaming,31
20037163,2021-04-30,eGaming,225
16535821,2021-01-31,eGaming,300
13477381,2020-07-31,eGaming,25
14497793,2021-06-30,eGaming,19
18053784,2020-12-31,eGaming,100
12438829,2020-05-31,eGaming,9
12564181,2021-01-31,eGaming,29
18150456,2020-12-31,SportsBook,26
15178732,2021-01-31,eGaming,50
20258468,2021-06-30,eGaming,20
12697768,2020-05-31,eGaming,40
14511160,2020-10-31,SportsBook,20
13798935,2019-11-30,SportsBook,10
16221052,2020-07-31,eGaming,30
13857033,2019-11-30,SportsBook,10
19685388,2021-03-31,eGaming,25
12497347,2019-02-28,SportsBook,40
15654387,2020-04-30,eGaming,13
18513880,2021-01-31,eGaming,120
13490916,2019-09-30,SportsBook,400
19822175,2021-04-30,SportsBook,500
12470850,2019-06-30,eGaming,20
13280867,2019-09-30,SportsBook,300
15737074,2020-05-31,eGaming,10
16354020,2020-09-30,SportsBook,5
12531601,2019-02-28,SportsBook,15
20034059,2021-04-30,eGaming,255
17317201,2021-03-31,eGaming,74
15813473,2020-09-30,eGaming,20
17051455,2021-04-30,eGaming,120
13267253,2019-10-31,SportsBook,20
15883666,2020-05-31,eGaming,40
12833598,2019-11-30,SportsBook,486
18487526,2021-01-31,SportsBook,10
12806085,2019-04-30,eGaming,10
15784700,2020-08-31,eGaming,30
13324700,2019-09-30,eGaming,100
15839724,2021-02-28,eGaming,30
13318915,2020-11-30,SportsBook,300
18396319,2020-12-31,eGaming,900
18652615,2021-01-31,eGaming,61
19583333,2021-03-31,SportsBook,40
17889394,2020-11-30,SportsBook,100
13503482,2020-10-31,eGaming,50
15910115,2020-05-31,eGaming,16
12764363,2020-04-30,eGaming,13
18902569,2021-03-31,eGaming,30
13878237,2020-07-31,eGaming,608
18383210,2020-12-31,eGaming,25
17840995,2021-04-30,SportsBook,32
13035274,2020-03-31,SportsBook,300
13833747,2019-11-30,SportsBook,800
14917158,2020-02-29,eGaming,548
14498601,2020-11-30,eGaming,30
18830371,2021-03-31,eGaming,10
18758472,2021-02-28,eGaming,209
15114907,2020-03-31,eGaming,109
13909908,2020-05-31,eGaming,30
18839799,2021-01-31,eGaming,29
15998228,2021-05-31,eGaming,12
14693049,2020-01-31,SportsBook,50
14681702,2021-05-31,eGaming,30
14697328,2020-01-31,eGaming,340
18830254,2021-01-31,eGaming,272
20346258,2021-05-31,eGaming,178
18408066,2021-05-31,eGaming,32
14954409,2020-02-29,SportsBook,500
14975252,2020-02-29,eGaming,13
13863933,2020-02-29,eGaming,21
12591324,2019-04-30,eGaming,20
17042041,2021-02-28,eGaming,193
13527953,2019-09-30,eGaming,195
14815845,2020-01-31,eGaming,10
17602670,2020-11-30,SportsBook,100
14747402,2021-02-28,eGaming,20
15702613,2021-06-30,SportsBook,231
16585558,2021-05-31,SportsBook,40
12767097,2021-01-31,eGaming,19
18254981,2021-02-28,SportsBook,10
16373636,2021-03-31,SportsBook,25
13592646,2020-08-31,eGaming,19
13289932,2019-07-31,eGaming,13
12831694,2020-08-31,SportsBook,30
14520917,2019-12-31,eGaming,3
13383014,2021-02-28,eGaming,9
20478363,2021-06-30,eGaming,114
13486919,2021-04-30,eGaming,30
17170062,2020-09-30,SportsBook,20
13978790,2020-10-31,SportsBook,250
19520012,2021-03-31,eGaming,223
13657531,2020-03-31,SportsBook,130
17122483,2020-09-30,eGaming,29
13847127,2021-03-31,eGaming,200
14476708,2020-02-29,SportsBook,230
12473396,2020-05-31,eGaming,50
12399505,2019-07-31,SportsBook,300
19264040,2021-06-30,eGaming,9
14926749,2021-05-31,eGaming,10
12336260,2019-01-31,eGaming,20
13858522,2019-12-31,eGaming,50
20276266,2021-05-31,eGaming,180
17580703,2021-01-31,eGaming,49
15111457,2021-06-30,eGaming,9
16180461,2021-04-30,eGaming,20
17488577,2020-11-30,eGaming,20
19615248,2021-03-31,SportsBook,148
14928811,2020-08-31,eGaming,105
17580703,2021-04-30,eGaming,10
20181397,2021-05-31,eGaming,210
15361944,2020-04-30,eGaming,100
17592157,2020-10-31,SportsBook,5
13619344,2019-10-31,eGaming,13
17796002,2021-03-31,SportsBook,20
14765661,2020-08-31,eGaming,25
12824106,2019-06-30,eGaming,205
13820160,2021-03-31,SportsBook,5
14617212,2019-12-31,eGaming,63
19609744,2021-03-31,eGaming,40
14957391,2020-02-29,eGaming,13
14936753,2020-02-29,SportsBook,500
17841304,2021-06-30,eGaming,50
13832665,2020-04-30,eGaming,13
17504664,2020-10-31,SportsBook,40
16430812,2020-12-31,eGaming,20
19644877,2021-03-31,SportsBook,75
18953409,2021-02-28,eGaming,16
13093162,2019-05-31,eGaming,12
18806365,2021-05-31,eGaming,75
14934543,2020-02-29,eGaming,10
15118448,2020-04-30,SportsBook,100
12651363,2019-03-31,eGaming,6
13923381,2019-11-30,eGaming,100
15245659,2020-03-31,eGaming,100
14841388,2020-05-31,eGaming,9
13377550,2019-08-31,eGaming,100
13457094,2020-04-30,eGaming,10
13789895,2021-01-31,SportsBook,130
13397134,2019-08-31,eGaming,25
14999032,2020-02-29,eGaming,100
19189055,2021-04-30,eGaming,48
12363635,2021-03-31,eGaming,50
18149070,2021-01-31,SportsBook,10
19884156,2021-04-30,eGaming,40
12592217,2020-06-30,eGaming,20
18686353,2021-02-28,eGaming,60
15725861,2021-01-31,SportsBook,130
20308770,2021-06-30,eGaming,30
19591985,2021-04-30,eGaming,100
13511978,2019-11-30,eGaming,100
12655386,2019-03-31,SportsBook,10
12809369,2020-03-31,eGaming,10
13079832,2020-05-31,SportsBook,200
13781164,2019-11-30,SportsBook,500
17905841,2020-11-30,SportsBook,25
17414755,2020-10-31,SportsBook,5
16462672,2021-03-31,eGaming,119
13447315,2019-10-31,SportsBook,30
12653322,2020-08-31,eGaming,20
13477408,2019-09-30,SportsBook,500
15581860,2020-04-30,eGaming,4
13198562,2020-04-30,eGaming,30
18065929,2021-02-28,eGaming,1011
13262757,2019-12-31,eGaming,4
12987433,2020-08-31,eGaming,29
16794313,2021-03-31,eGaming,9
17139935,2020-09-30,SportsBook,10
14465115,2019-11-30,eGaming,10
13216526,2020-09-30,SportsBook,50
13730523,2020-09-30,eGaming,42
17231604,2020-10-31,eGaming,30
13061916,2020-03-31,eGaming,70
13238483,2020-08-31,eGaming,50
14749384,2020-07-31,eGaming,330
18922101,2021-01-31,eGaming,80
19479923,2021-04-30,eGaming,19
17709815,2020-11-30,eGaming,30
14754494,2020-03-31,SportsBook,155
18128732,2020-12-31,eGaming,85
13025381,2019-05-31,eGaming,10
13024415,2019-06-30,eGaming,1500
13380575,2019-10-31,SportsBook,10
13400496,2019-09-30,SportsBook,250
17623747,2020-12-31,eGaming,50
14939864,2020-02-29,eGaming,1
13693213,2019-12-31,SportsBook,300
18768059,2021-01-31,eGaming,125
17801954,2020-11-30,SportsBook,75
12805085,2020-01-31,eGaming,605
14888191,2021-05-31,eGaming,8
12464274,2019-02-28,eGaming,100
12854004,2019-04-30,SportsBook,30
17872484,2020-11-30,eGaming,25
13623378,2020-01-31,eGaming,15
12442995,2019-01-31,SportsBook,10
13364648,2021-01-31,SportsBook,50
20256928,2021-05-31,eGaming,16
13650298,2019-12-31,SportsBook,24
13244764,2021-05-31,eGaming,28
15761637,2020-05-31,SportsBook,500
17274543,2020-10-31,eGaming,100
12557186,2020-12-31,eGaming,8
12661748,2020-06-30,eGaming,8
20067442,2021-05-31,SportsBook,50
13716805,2021-02-28,eGaming,10
13839751,2021-01-31,SportsBook,13
18028203,2021-03-31,eGaming,70
13520502,2019-09-30,eGaming,10
13793846,2020-11-30,eGaming,50
15391661,2020-04-30,eGaming,10
17568734,2021-02-28,eGaming,100
14811382,2021-05-31,eGaming,130
13843332,2019-11-30,eGaming,6
19721664,2021-05-31,SportsBook,30
13948153,2020-04-30,eGaming,25
14484124,2020-04-30,eGaming,50
13096580,2020-02-29,eGaming,40
12440607,2019-01-31,eGaming,20
14567413,2019-12-31,SportsBook,25
15202936,2020-03-31,eGaming,100
17413796,2020-12-31,SportsBook,141
14961292,2020-02-29,SportsBook,150
13015373,2019-10-31,eGaming,50
14859735,2020-01-31,eGaming,13
15623319,2020-04-30,eGaming,100
12468366,2019-04-30,SportsBook,10
20533350,2021-06-30,eGaming,305
14887976,2020-03-31,eGaming,79
12571016,2019-02-28,SportsBook,600
13286178,2021-03-31,SportsBook,150
12651765,2020-03-31,SportsBook,100
12557250,2021-05-31,SportsBook,200
13846984,2020-01-31,eGaming,5
13198298,2021-02-28,SportsBook,25
18200106,2021-02-28,eGaming,105
20239209,2021-05-31,eGaming,25
15013550,2020-04-30,eGaming,10
13882605,2021-03-31,eGaming,10
13826990,2019-11-30,SportsBook,5
15170593,2020-12-31,eGaming,10
13026373,2019-05-31,SportsBook,5
13174700,2020-04-30,eGaming,13
20699562,2021-06-30,eGaming,105
17196011,2021-02-28,eGaming,20
13062430,2019-07-31,SportsBook,300
17575657,2020-11-30,eGaming,35
