Src_Player_Id,System_First_Bet_Datetime,System_First_BetSlip_Amt,System_First_Bet_Product_Group,System_First_Bet_Product,System_First_Bet_Channel,System_First_Bet_Platform
15643431,2020-10-09 03:57:29,3,eGaming,Non Table Games,Online,Mobile
13593034,2019-09-27 15:03:58,10,Sports,Prematch,Online,Mobile
15894194,2021-02-28 02:22:07,2,eGaming,Non Table Games,Online,Web
13238000,2019-07-08 10:39:45,0,eGaming,Non Table Games,Online,Mobile
12866848,2019-04-27 14:20:27,0,eGaming,Non Table Games,Online,Mobile
15025504,2020-02-25 19:05:39,4,eGaming,Non Table Games,Online,Mobile
14688049,NULL,NULL,NULL,NULL,NULL,NULL
13436690,NULL,NULL,NULL,NULL,NULL,NULL
13717946,NULL,NULL,NULL,NULL,NULL,NULL
13819934,2019-11-03 11:18:54,10,eGaming,Non Table Games,Online,Mobile
12691113,2019-03-18 18:20:38,0,eGaming,Non Table Games,Online,Web
16278878,2020-07-12 16:47:49,0,eGaming,Non Table Games,Online,Web
20159936,2021-05-08 14:52:34,0,eGaming,Non Table Games,Online,Mobile
19046559,2021-02-10 19:03:31,0,eGaming,Non Table Games,Online,Mobile
15315694,2020-04-01 11:36:52,0,eGaming,Non Table Games,Online,Mobile
15818186,2020-10-01 14:32:01,10,Sports,Prematch,Online,Mobile
18203843,NULL,NULL,NULL,NULL,NULL,NULL
12631319,2019-03-07 19:40:57,30,Sports,Prematch,Online,Mobile
15506916,2020-04-17 19:35:06,0,eGaming,Non Table Games,Online,Mobile
20713317,2021-07-11 18:40:51,0,eGaming,Non Table Games,Online,Mobile
13676155,2019-10-13 13:17:10,1,eGaming,Non Table Games,Online,Mobile
20495184,NULL,NULL,NULL,NULL,NULL,NULL
20811567,2021-07-12 07:28:47,0,eGaming,Non Table Games,Online,Mobile
13518866,NULL,NULL,NULL,NULL,NULL,NULL
16112883,2020-10-11 14:02:02,2,eGaming,Non Table Games,Online,Mobile
13844887,2019-11-06 21:11:41,0,eGaming,Non Table Games,Online,Web
14481608,2019-12-03 18:52:53,50,Sports,Prematch,Online,Mobile
13707333,NULL,NULL,NULL,NULL,NULL,NULL
13870838,2019-11-10 16:25:50,0,eGaming,Non Table Games,Online,Mobile
19969871,NULL,NULL,NULL,NULL,NULL,NULL
13842765,2019-11-07 18:34:48,10,Sports,Prematch,Online,Mobile
12459072,NULL,NULL,NULL,NULL,NULL,NULL
15410151,2020-04-10 18:10:32,1,eGaming,Non Table Games,Online,Mobile
12678906,NULL,NULL,NULL,NULL,NULL,NULL
15048196,NULL,NULL,NULL,NULL,NULL,NULL
14477728,2019-12-02 22:30:13,1,eGaming,Non Table Games,Online,Mobile
12391214,2019-01-15 21:19:25,0,eGaming,Non Table Games,Online,Web
14798561,NULL,NULL,NULL,NULL,NULL,NULL
15034087,NULL,NULL,NULL,NULL,NULL,NULL
15201913,NULL,NULL,NULL,NULL,NULL,NULL
18053265,2020-11-26 13:53:58,2,Sports,Prematch,Online,Mobile
17194564,2020-09-21 14:10:27,10,Sports,Prematch,Online,Mobile
12506432,2019-02-11 18:40:22,5,Sports,Prematch,Online,Mobile
12858256,NULL,NULL,NULL,NULL,NULL,NULL
15617862,NULL,NULL,NULL,NULL,NULL,NULL
13301991,NULL,NULL,NULL,NULL,NULL,NULL
15717672,2020-05-06 08:18:19,3,eGaming,Non Table Games,Online,Mobile
14752975,2020-01-13 01:08:09,10,eGaming,Non Table Games,Online,Web
17271328,NULL,NULL,NULL,NULL,NULL,NULL
16813713,2020-08-27 17:32:24,0,eGaming,Non Table Games,Online,Web
15370837,2020-04-08 16:49:14,4,eGaming,Non Table Games,Online,Web
14483394,2019-12-04 00:56:21,50,Sports,Prematch,Online,Web
12335210,NULL,NULL,NULL,NULL,NULL,NULL
18746504,NULL,NULL,NULL,NULL,NULL,NULL
14501001,2019-12-08 18:55:49,500,Sports,Prematch,Online,Mobile
13950851,NULL,NULL,NULL,NULL,NULL,NULL
14817879,2020-01-22 10:30:18,0,eGaming,Non Table Games,Online,Mobile
17328839,2020-10-02 19:19:51,5,Sports,Prematch,Online,Web
12631591,2019-03-05 19:17:57,0,eGaming,Non Table Games,Online,Web
12718155,NULL,NULL,NULL,NULL,NULL,NULL
15649527,NULL,NULL,NULL,NULL,NULL,NULL
13598470,NULL,NULL,NULL,NULL,NULL,NULL
15911186,2020-05-27 09:13:09,1,eGaming,Non Table Games,Online,Web
13241813,2019-07-09 13:43:09,10,eGaming,Non Table Games,Online,Web
12987157,2019-04-30 17:39:18,1,eGaming,Non Table Games,Online,Mobile
15029032,2020-02-27 02:05:06,10,Sports,Prematch,Online,Mobile
14688534,NULL,NULL,NULL,NULL,NULL,NULL
13438104,NULL,NULL,NULL,NULL,NULL,NULL
13723120,2019-10-19 17:01:14,20,Sports,Prematch,Online,Mobile
13832770,2019-11-07 16:14:48,2,Sports,Live,Online,Mobile
12691906,2019-03-20 16:30:04,1,eGaming,Non Table Games,Online,Web
16349031,NULL,NULL,NULL,NULL,NULL,NULL
20161364,NULL,NULL,NULL,NULL,NULL,NULL
19078877,NULL,NULL,NULL,NULL,NULL,NULL
15369850,NULL,NULL,NULL,NULL,NULL,NULL
15840268,2020-05-19 11:10:02,0,eGaming,Non Table Games,Online,Mobile
18229841,NULL,NULL,NULL,NULL,NULL,NULL
12633745,NULL,NULL,NULL,NULL,NULL,NULL
